Date,Unemployment Rate
2006-01-08,5.2
2006-02-08,5.1
2006-03-08,4.9
2006-04-05,5
2006-05-03,4.8
2006-06-07,4.8
2006-07-05,4.7
2006-08-02,4.7
2006-09-06,4.7
2006-10-04,4.5
2006-11-08,4.5
2006-12-06,4.6
2007-02-07,4.6
2007-03-07,4.6
2007-04-04,4.5
2007-05-02,4.4
2007-06-06,4.3
2007-07-04,4.3
2007-08-08,4.3
2007-09-05,4.3
2007-10-03,4.2
2007-11-07,4.3
2007-12-05,4.4
2008-02-06,4.3
2008-03-05,4.2
2008-04-02,4
2008-05-07,4.1
2008-06-04,4.3
2008-07-02,4.3
2008-08-06,4.2
2008-09-03,4.3
2008-10-08,4
2008-11-05,4.3
2008-12-03,4.3
2009-02-04,4.5
2009-03-04,4.6
2009-04-08,4.9
2009-05-06,5.3
2009-06-03,5.7
2009-07-08,5.5
2009-08-05,5.8
2009-09-02,5.9
2009-10-07,5.7
2009-11-04,5.7
2009-12-02,5.7
2010-02-03,5.6
2010-03-03,5.6
2010-04-07,5.5
2010-05-05,5.3
2010-06-02,5.3
2010-07-07,5.4
2010-08-04,5.5
2010-09-08,5.2
2010-10-06,5.1
2010-11-03,5.3
2010-12-08,5
2011-02-02,5.1
2011-03-02,5.3
2011-04-06,5.1
2011-05-04,4.9
2011-06-08,5
2011-07-06,5
2011-08-03,4.9
2011-09-07,5
2011-10-05,5
2011-11-02,4.9
2011-12-07,5.1
2012-02-08,5.3
2012-03-07,5.2
2012-04-04,5.2
2012-05-02,5.2
2012-06-06,5.2
2012-07-04,5
2012-08-08,5.2
2012-09-05,5.2
2012-10-03,5
2012-11-07,5.2
2012-12-05,5.2
2013-02-06,5.2
2013-03-06,5.2
2013-04-03,5.5
2013-05-08,5.4
2013-06-05,5.3
2013-07-03,5.4
2013-08-07,5.4
2013-09-04,5.4
2013-10-02,5.6
2013-11-06,5.6
2013-12-04,5.6
2014-02-05,5.7
2014-03-05,5.6
2014-04-02,5.8
2014-05-07,5.7
2014-06-04,5.8
2014-07-02,5.8
2014-08-06,5.9
2014-09-03,5.9
2014-10-08,5.9
2014-11-05,5.9
2014-12-03,5.8
2015-02-04,5.9
2015-03-04,6
2015-04-08,6.2
2015-05-06,6.1
2015-06-03,6.2
2015-07-08,6.4
2015-08-05,6.3
2015-09-02,6.1
2015-10-07,6.4
2015-11-04,6.2
2015-12-02,6.1
2016-02-03,6.1
2016-03-02,5.9
2016-04-06,6
2016-05-04,6.3
2016-06-08,6.1
2016-07-06,6.1
2016-08-03,5.9
2016-09-07,5.9
2016-10-05,5.7
2016-11-02,
2016-12-07,
2017-02-08,
2017-03-08,
2017-04-05,
2017-05-03,
2017-06-07,
2017-07-05,
2017-08-02,
2017-09-06,
2017-10-04,
2017-11-08,
2017-12-06,
2018-02-07,
2018-03-07,
2018-04-04,
2018-05-02,
2018-06-06,
2018-07-04,
2018-08-08,
2018-09-05,
2018-10-03,
2018-11-07,
2018-12-05,
2019-02-06,
2019-03-06,
2019-04-03,
2019-05-08,
2019-06-05,
2019-07-03,
2019-08-07,
2019-09-04,
2019-10-02,
2019-11-06,
2019-12-04,
2020-02-05,
2020-03-04,
2020-03-20,
2020-04-08,
2020-05-06,
2020-06-03,
2020-07-08,
2020-08-05,
2020-09-02,
2020-10-07,
2020-11-04,
2020-12-02,
2021-02-03,
2021-03-03,
2021-04-07,
2021-05-05,
2021-06-02,
2021-07-07,
2021-08-04,
2021-09-08,
2021-10-06,
2021-11-03,
2021-12-08,
2022-02-02,
2022-03-02,
2022-04-06,
2022-05-04,